"","Type","HBZ","FAU","RNA5SP449","RNY3P16","MTCO2P29","TMEM176A","TMEM176B","PSG1","CYP4F35P","RN7SKP198","RNA5SP63","NPY5R","MIR548AD","RN7SL452P","GPR87","RNU6-1024P","BUD31P2","RNU6-893P","ZNF578","RNU6-263P","KARSP3","RNU4-51P","RNU6-1244P","RNU6-403P","RNU6-1024P1","COX7B","ZNF847P","RNU6-853P","RNU6-943P","RNA5SP30","OR5M10","RNY1P5","DDX18P6","HMGB3P24","LINC01356","MTCO1P11","RPS7","RNU6-98P","FAU1","GSTM1","RNU4-2","TMTC1","SLFN14","SLC14A1","GSTM11","SCARNA10","RNF182","LINC00189","XK","TSPAN7","SFRP2","ORM1","LRP1","RPPH1","ALDH5A1","LGALS2","IFIT1B","RNA5SP242","UBE2O","OSBP2","HBZ1","RNU6-1124P","RNU6-921P","IGKV2-26","IGKV1D-27","ALOX15","TMEM176A1","RNU6-1315P","KIAA1324","IL1RL1","SNORA38B","HLA-DOA","IGHV3-47","VTRNA1-1","SMPD3","TMEM176B1","SNORA23","RNU5A-1","FOLR3","RN7SL218P","TMEM176A2","HBZ2","TMEM176B2","FAU2","HBZP1","RNY3P161","IGKV1-5","RNA5SP631","TREML4","CYP4F35P1","ALOX151","IGKV3-11","IGKV2-30","ZFP57","RNA5SP4491","IGKV1-33","CAV1","RNU6-893P1","POU2AF1","IGKV2-24","KARSP31","GSTM12","RNU4-51P1","RNU6-1024P2","COX7B1","OCLN","CTNNAL1","RNA5SP301","C4BPA","CD274","LINC013561","RNU6-522P","HMGB3P241","BBOF1","RPL36AP26","SLPI","RNU6-943P1","SLC3A1","RPS71","RNU6-853P1"
"pre_GSM1923000","pre-treatment",5.811648,2.923815,3.236636,3.175538,2.710522,8.234849,7.590224,3.37865,5.727632,4.638636,6.031024,3.009981,2.138376,3.32528,2.61623,5.118808,2.444807,4.729823,3.274085,2.601558,3.236636,3.411485,2.2018,2.374033,5.118808,3.684098,2.774108,2.839938,3.294064,3.630963,2.863583,2.017035,3.241025,4.27694,4.364758,1.691963,4.3154345,1.891458,2.923815,8.472179,8.327796,5.368236,6.920948,9.845773,8.472179,8.062058,5.898824,5.008105,8.649788,7.270642,6.242383,5.392341,9.438645,9.436149,7.952618,5.889227,7.819321,7.915483,8.555623,8.490681,5.811648,3.625595,4.137214,7.502052,5.756958,8.618218,8.234849,5.965623,10.30821,7.686226,6.785851,8.297891,4.42794,3.918149,7.846201,7.590224,8.268927,6.132856,7.227573,4.254791,8.234849,5.811648,7.590224,2.923815,7.794837,3.175538,9.347239,6.031024,7.466928,5.727632,8.618218,8.531608,9.80499,5.099425,3.236636,8.504716,5.41404,4.729823,7.49751,8.060297,3.236636,8.472179,3.411485,5.118808,3.684098,3.689732,5.097876,3.630963,5.294201,7.037835,4.364758,7.104646,4.27694,7.179473,7.213727,7.066407,3.294064,4.943041,4.3154345,2.839938
"pre_GSM1923004","pre-treatment",5.069629,3.196819,3.436943,4.714185,2.405929,10.17415,8.562156,3.592083,4.453184,4.436777,6.647255,3.114035,2.369435,2.845915,2.698809,2.348279,2.858302,5.129372,3.33044,2.706857,3.370126,3.035656,1.824639,2.589489,2.348279,3.101303,2.205165,2.789659,2.930063,4.835207,2.909033,2.410734,3.067835,4.598945,4.458671,1.677882,3.8521165,2.050228,3.196819,6.076176,7.4665,6.849525,6.871564,10.34326,6.076176,7.402003,9.661179,5.074153,9.159578,7.641379,6.199125,5.107743,8.930514,8.994946,8.139573,6.590998,9.213772,7.020733,8.996534,9.269087,5.069629,3.955489,4.339667,7.072053,5.61757,8.54088,10.17415,6.397019,9.935955,7.56243,6.638315,8.1574705,4.057443,3.513016,8.19033,8.562156,7.180117,6.000473,8.543058,4.15778,10.17415,5.069629,8.562156,3.196819,7.282024,4.714185,9.128321,6.647255,5.353891,4.453184,8.54088,8.205757,9.489275,4.777316,3.436943,8.538736,5.63679,5.129372,7.66953,8.192456,3.370126,6.076176,3.035656,2.348279,3.101303,6.130703,6.411452,4.835207,4.922786,6.904259,4.458671,6.063435,4.598945,7.731149,6.986807,6.981043,2.930063,4.881752,3.8521165,2.789659
"pre_GSM1923010","pre-treatment",6.523757,3.117909,2.643492,2.78867,2.597339,9.692642,9.000389,2.956225,4.743564,4.5267,6.119845,3.21424,2.336002,3.741096,3.03402,4.881846,3.129294,5.060843,4.623713,2.77088,3.251732,3.709145,1.854291,2.714277,4.881846,4.116078,2.327527,3.102854,3.668304,3.515635,3.251732,2.464911,3.557154,4.338547,4.825437,1.76393,4.25758,2.241666,3.117909,6.174376,7.294303,5.133677,7.013676,9.47344,6.174376,7.134168,4.698263,5.969443,7.632213,6.163517,6.419077,6.1606,8.713573,8.530666,7.678496,7.991654,8.217195,7.740351,8.176607,7.417982,6.523757,4.624758,4.462494,6.711569,5.503773,9.012391,9.692642,5.630767,10.67592,7.375314,6.729556,8.3779135,4.239655,3.153503,7.559098,9.000389,7.811905,5.055697,6.03984,5.208383,9.692642,6.523757,9.000389,3.117909,8.389799,2.78867,9.639825,6.119845,5.278979,4.743564,9.012391,8.159265,9.227246,6.400451,2.643492,8.872813,5.381947,5.060843,7.506255,7.905823,3.251732,6.174376,3.709145,4.881846,4.116078,7.136095,5.253568,3.515635,5.135108,7.888517,4.825437,7.032055,4.338547,6.874625,6.680272,6.953969,3.668304,4.879858,4.25758,3.102854
"pre_GSM1923012","pre-treatment",3.919103,2.450092,2.394457,3.581125,2.218805,9.823821,8.615328,2.864717,5.059506,4.315451,5.483854,2.687575,2.191544,3.58836,2.661114,4.90108,2.43576,4.588546,4.046737,2.3526,3.045036,3.01495,2.342321,2.94853,4.90108,3.492036,2.224784,2.738443,3.275517,3.845782,3.395484,1.890544,3.241025,4.862531,4.959461,1.71489,4.0559025,2.082704,2.450092,6.026742,7.256128,7.026363,5.894792,9.201641,6.026742,7.705833,6.551296,6.103569,7.922269,6.095269,6.436749,5.326785,8.025482,8.257639,7.215479,6.16583,7.680322,6.194974,7.632955,8.154993,3.919103,3.142038,4.716303,7.97642,6.270058,7.437176,9.823821,6.909309,8.440156,6.220163,8.13652,8.7306995,3.933982,3.321703,7.055265,8.615328,9.148938,6.153654,7.579003,5.244798,9.823821,3.919103,8.615328,2.450092,7.196186,3.581125,9.590477,5.483854,7.433537,5.059506,7.437176,8.854791,9.984616,5.832144,2.394457,9.21624,5.358056,4.588546,7.9133495,8.421768,3.045036,6.026742,3.01495,4.90108,3.492036,6.460763,4.569628,3.845782,4.593153,6.925076,4.959461,5.704543,4.862531,6.125238,6.822679,8.885679,3.275517,4.89069,4.0559025,2.738443
"pre_GSM1923007","pre-treatment",3.86604,2.701025,2.329058,3.960004,2.976291,8.315637,7.479093,2.961254,5.341248,3.925748,5.280619,3.069981,2.302679,3.200579,2.571358,5.008736,2.584532,5.721657,3.139522,2.812137,5.658116,3.386954,1.768834,2.564433,5.008736,3.929107,2.407853,2.670711,2.946633,3.838985,2.586781,2.834182,2.77931,4.285501,3.549182,1.886315,4.2646525,2.137153,2.701025,6.458577,7.6907,6.744016,7.347084,10.14733,6.458577,8.546481,6.222152,7.737411,8.797106,7.061808,7.064362,6.468585,8.816051,9.331375,8.269623,6.852998,8.573379,7.000936,8.938259,8.547719,3.86604,3.610108,4.720361,6.582178,6.292499,8.769546,8.315637,6.306538,10.30233,7.696645,6.518712,7.8883575,3.760212,3.557066,7.994747,7.479093,7.980599,6.626325,10.13579,4.388085,8.315637,3.86604,7.479093,2.701025,6.87005,3.960004,9.561001,5.280619,5.960432,5.341248,8.769546,8.53629,9.253304,5.096492,2.329058,8.509806,5.329176,5.721657,7.2859585,7.83882,5.658116,6.458577,3.386954,5.008736,3.929107,6.327845,5.952301,3.838985,5.000043,7.096611,3.549182,6.245954,4.285501,7.724988,7.722751,8.218735,2.946633,4.810431,4.2646525,2.670711
"pre_GSM1923020","pre-treatment",7.004467,2.93315,2.719405,3.358239,2.569777,9.197305,8.458378,2.785112,5.342484,4.564003,4.799551,2.957445,2.243055,3.208239,2.812303,5.854117,2.647525,5.003718,3.110768,3.291925,2.394456,3.410872,1.94207,2.615167,5.854117,4.295516,2.192885,2.876158,2.694439,5.142002,2.936849,2.597563,3.09656,3.948353,4.386386,1.759618,4.3983355,2.060897,2.93315,5.554105,7.743725,4.787425,7.466074,10.12761,5.554105,8.402628,5.657006,5.132412,8.676796,6.79943,7.004295,7.48913,8.187409,8.666814,7.154166,6.887355,9.369111,7.26008,8.784403,8.923566,7.004467,3.446178,4.590574,6.289496,5.344773,8.083969,9.197305,6.194286,10.42794,6.557677,10.17743,7.9922495,4.084619,3.428813,7.292734,8.458378,9.725664,6.934309,9.276039,5.439103,9.197305,7.004467,8.458378,2.93315,8.829184,3.358239,8.967034,4.799551,8.521794,5.342484,8.083969,7.819931,9.122567,6.533839,2.719405,8.222979,5.343532,5.003718,7.296976,7.808922,2.394456,5.554105,3.410872,5.854117,4.295516,3.899995,6.450964,5.142002,4.995357,7.148675,4.386386,7.334882,3.948353,8.129784,7.898178,9.085851,2.694439,4.629837,4.3983355,2.876158
"pre_GSM192998","pre-treatment",6.80334,2.538203,2.585292,3.516727,2.258775,7.918641,6.951741,2.640877,5.627999,3.621635,4.903502,3.070503,2.44179,3.312527,2.558576,4.396429,2.92514,4.914101,4.351112,2.204175,6.275847,3.553139,2.24259,2.455437,4.396429,4.63121,2.121907,3.085255,3.130377,4.000862,2.930313,2.54561,3.227246,3.775146,4.537256,2.30924,4.279754,2.121304,2.538203,6.361301,8.194386,7.462216,7.734507,10.99537,6.361301,6.50957,8.664271,6.972443,9.290656,8.052944,7.250219,6.30702,8.200642,8.732365,8.699712,7.513904,10.0584,7.285285,9.059455,9.498442,6.80334,3.775698,3.516193,7.18733,5.904894,6.793347,7.918641,5.803548,10.13504,7.316125,8.908377,8.418195,4.294885,4.092259,7.882069,6.951741,8.134516,6.249239,7.764552,5.099842,7.918641,6.80334,6.951741,2.538203,8.483055,3.516727,9.41655,4.903502,8.065818,5.627999,6.793347,8.900699,9.330873,4.958622,2.585292,9.013853,5.090943,4.914101,7.605768,8.330021,6.275847,6.361301,3.553139,4.396429,4.63121,4.002341,6.414011,4.000862,4.947705,8.057865,4.537256,6.46043,3.775146,8.212811,7.359946,8.100077,3.130377,4.324484,4.279754,3.085255
"pre_GSM1922995","pre-treatment",3.463336,2.92258,2.316245,3.861783,2.618027,7.678146,6.795467,2.968819,4.791713,4.346113,6.227046,2.962789,2.969253,3.697613,2.490596,4.970521,2.893989,5.278355,3.679729,2.474747,4.549771,3.596871,3.424106,2.934895,4.970521,4.491021,2.508331,3.275527,3.393719,4.496307,2.878068,2.77106,3.176733,4.118515,4.249209,1.90949,5.185456,2.143853,2.92258,6.012029,7.506886,7.829046,7.225273,9.363169,6.012029,7.869164,7.097365,6.869028,8.7299,6.900731,6.970616,5.67574,8.426199,7.994755,7.983555,6.436921,8.137804,6.994006,8.787931,8.811042,3.463336,4.566251,4.739301,7.245918,6.192151,8.327738,7.678146,6.433755,9.994263,7.225058,8.138044,8.3332675,4.778882,3.031099,7.206326,6.795467,8.048693,6.028975,7.958322,4.498331,7.678146,3.463336,6.795467,2.92258,6.043233,3.861783,9.308955,6.227046,5.446463,4.791713,8.327738,8.756651,9.358013,5.308321,2.316245,9.230331,5.573716,5.278355,7.499083,8.28389,4.549771,6.012029,3.596871,4.970521,4.491021,3.858411,5.610598,4.496307,4.6054,6.886828,4.249209,7.389003,4.118515,7.498887,7.391714,8.677443,3.393719,4.580755,5.185456,3.275527
"pre_GSM1923002","pre-treatment",5.055998,3.709078,2.779747,4.316494,2.571665,6.915335,6.976371,3.691666,3.523219,4.703253,6.127749,2.875265,2.920373,3.91207,2.582445,2.639625,3.001687,4.776263,3.354205,2.160788,5.012138,3.617172,1.881448,3.224197,2.639625,4.523447,2.451142,2.947542,3.099114,3.452406,2.811882,2.471262,3.210181,4.983908,4.989921,2.009905,4.013799,2.244068,3.709078,7.862147,7.817271,7.055426,8.492467,11.51621,7.862147,8.627264,10.20627,5.597713,9.923145,8.537998,8.568158,6.234042,7.856422,8.892643,8.517094,7.344245,10.68292,8.065243,10.16899,9.617673,5.055998,4.04022,4.141136,6.725072,5.259172,7.634356,6.915335,6.418136,10.5396,6.473979,6.759503,7.4548925,4.412323,3.21386,6.559786,6.976371,8.924269,5.806464,6.342517,4.957538,6.915335,5.055998,6.976371,3.709078,7.0888,4.316494,9.01684,6.127749,5.513658,3.523219,7.634356,7.793757,8.618487,5.377296,2.779747,8.264961,5.194315,4.776263,6.54772,7.422448,5.012138,7.862147,3.617172,2.639625,4.523447,7.702955,7.285121,3.452406,5.72575,7.866396,4.989921,6.703728,4.983908,9.407221,8.235855,8.856766,3.099114,5.745869,4.013799,2.947542
"pre_GSM1923008","pre-treatment",4.500188,3.363532,2.705528,4.311824,2.925948,7.677896,7.125981,3.117869,4.764615,3.809677,5.646268,2.976118,2.432497,3.152898,2.633298,3.464713,2.854104,4.421556,3.370126,2.637111,2.584302,3.46575,2.034415,2.740385,3.464713,3.603166,2.546446,3.176307,3.249888,4.249281,2.71892,2.237279,3.277802,4.824197,3.83243,1.634024,4.1455885,2.002282,3.363532,8.596789,8.045245,6.979723,7.073551,10.41857,8.596789,7.908354,5.984591,6.673177,9.287848,10.6927,6.583425,6.417063,8.178926,8.9312,8.259899,7.500143,8.62677,7.518399,9.138132,9.177885,4.500188,2.999533,4.676291,7.266558,5.878548,7.174583,7.677896,5.73684,9.57143,5.74683,7.282931,7.9629385,3.876354,3.393577,6.946569,7.125981,8.572343,6.695676,7.38727,4.957379,7.677896,4.500188,7.125981,3.363532,6.641269,4.311824,10.17195,5.646268,8.141497,4.764615,7.174583,9.381006,9.926197,4.676762,2.705528,9.176512,5.361321,4.421556,7.289034,8.470101,2.584302,8.596789,3.46575,3.464713,3.603166,6.610095,5.84894,4.249281,4.863747,6.818688,3.83243,7.078945,4.824197,7.964251,7.771163,7.928227,3.249888,4.938174,4.1455885,3.176307
"pre_GSM1923015","pre-treatment",3.313138,3.29523,2.990566,3.72357,2.697137,9.219242,8.368604,2.902952,5.844336,4.002262,5.341722,3.051528,2.454181,3.433363,2.433648,3.799605,2.942713,4.316015,2.977812,2.93443,3.750945,4.313459,3.152341,2.879177,3.799605,4.617862,2.02687,4.236188,3.556128,4.170519,2.699138,2.486047,3.297224,3.837341,4.172018,1.727826,4.3816285,1.904648,3.29523,5.537547,8.391516,7.171209,6.917688,10.3765,5.537547,7.997349,5.781807,6.901049,8.40299,6.548839,6.891493,5.107102,8.585566,8.972183,7.593282,7.208789,8.57902,7.358203,8.370553,8.077947,3.313138,2.581622,4.029157,7.124655,5.465782,7.906488,9.219242,5.303005,9.42232,6.571969,6.981231,7.8940575,3.842627,3.76857,6.826509,8.368604,9.432232,6.018046,7.640288,4.869377,9.219242,3.313138,8.368604,3.29523,6.507183,3.72357,9.110521,5.341722,5.060966,5.844336,7.906488,7.876977,9.174845,4.749932,2.990566,8.547084,5.122855,4.316015,7.6211435,7.923913,3.750945,5.537547,4.313459,3.799605,4.617862,6.839999,5.075598,4.170519,5.361488,7.360441,4.172018,7.411445,3.837341,7.592292,7.342733,7.520678,3.556128,4.427902,4.3816285,4.236188
"pre_GSM1923018","pre-treatment",2.791657,2.712208,2.758645,2.650609,2.303258,7.738728,7.022178,2.81784,6.108862,4.283495,5.78592,2.776554,2.323431,3.281252,2.575667,3.783675,2.447708,4.868808,3.399431,2.694846,3.562265,3.380232,2.166299,2.742985,3.783675,4.653553,2.16702,2.869511,2.714196,3.440986,2.934319,2.816159,3.085339,4.110156,3.358146,2.033664,4.186968,2.685178,2.712208,8.948875,9.026752,7.166209,7.704072,10.72244,8.948875,8.827578,5.665356,7.79761,8.913815,7.507761,7.580279,4.849042,9.596701,9.633449,7.671036,7.644198,9.019814,9.288952,9.020329,9.027387,2.791657,3.543049,3.660089,7.287825,6.071668,9.64069,7.738728,5.752495,8.023506,6.715892,8.483041,8.326974,4.68154,6.216463,7.995934,7.022178,8.611336,6.743095,6.711778,4.490073,7.738728,2.791657,7.022178,2.712208,6.678111,2.650609,9.507219,5.78592,7.810779,6.108862,9.64069,8.621697,9.167371,4.835622,2.758645,9.041675,5.456933,4.868808,7.6316025,7.925795,3.562265,8.948875,3.380232,3.783675,4.653553,4.025669,5.340089,3.440986,8.962273,6.911521,3.358146,7.537065,4.110156,7.991055,7.09789,8.406864,2.714196,4.832296,4.186968,2.869511
"pre_GSM1923022","pre-treatment",3.460742,2.283188,3.183854,3.83391,2.173146,8.038414,7.24143,2.999175,3.653342,4.2086,4.254113,2.888251,2.086755,3.338976,2.513911,3.744827,3.003138,4.242538,3.553453,3.275838,7.463402,3.832153,2.288224,2.397173,3.744827,3.957126,2.064669,3.81135,3.563811,3.180736,2.765297,2.248263,3.241025,3.85841,5.011254,1.692853,4.0044175,2.309709,2.283188,8.214592,6.769595,5.084648,8.571956,11.84463,8.214592,8.532614,10.22247,4.174501,10.21627,7.200236,6.462964,5.151833,8.402471,8.903378,8.731031,7.403719,10.7683,7.44808,9.965636,9.784541,3.460742,4.128722,4.171865,6.347554,5.59832,4.640682,8.038414,5.560838,9.244128,5.604244,7.219204,7.5490185,3.140019,3.204755,6.238121,7.24143,8.309378,5.56117,8.866272,4.326639,8.038414,3.460742,7.24143,2.283188,6.381455,3.83391,9.232349,4.254113,7.882119,3.653342,4.640682,7.877319,8.903975,5.031002,3.183854,8.429285,5.338375,4.242538,6.7842325,7.709735,7.463402,8.214592,3.832153,3.744827,3.957126,7.094453,7.617988,3.180736,5.617418,7.839045,5.011254,6.77889,3.85841,9.156115,7.124386,7.864158,3.563811,4.431097,4.0044175,3.81135
