"","Type","HBZ","FAU","RNA5SP449","RNY3P16","MTCO2P29","TMEM176A","TMEM176B","PSG1","CYP4F35P","RN7SKP198","RNA5SP63","NPY5R","MIR548AD","RN7SL452P","GPR87","RNU6-1024P","BUD31P2","RNU6-893P","ZNF578","RNU6-263P","KARSP3","RNU4-51P","RNU6-1244P","RNU6-403P","RNU6-1024P1","COX7B","ZNF847P","RNU6-853P","RNU6-943P","RNA5SP30","OR5M10","RNY1P5","DDX18P6","HMGB3P24","LINC01356","MTCO1P11","RPS7","RNU6-98P","FAU1","GSTM1","RNU4-2","TMTC1","SLFN14","SLC14A1","GSTM11","SCARNA10","RNF182","LINC00189","XK","TSPAN7","SFRP2","ORM1","LRP1","RPPH1","ALDH5A1","LGALS2","IFIT1B","RNA5SP242","UBE2O","OSBP2","HBZ1","RNU6-1124P","RNU6-921P","IGKV2-26","IGKV1D-27","ALOX15","TMEM176A1","RNU6-1315P","KIAA1324","IL1RL1","SNORA38B","HLA-DOA","IGHV3-47","VTRNA1-1","SMPD3","TMEM176B1","SNORA23","RNU5A-1","FOLR3","RN7SL218P","TMEM176A2","HBZ2","TMEM176B2","FAU2","HBZP1","RNY3P161","IGKV1-5","RNA5SP631","TREML4","CYP4F35P1","ALOX151","IGKV3-11","IGKV2-30","ZFP57","RNA5SP4491","IGKV1-33","CAV1","RNU6-893P1","POU2AF1","IGKV2-24","KARSP31","GSTM12","RNU4-51P1","RNU6-1024P2","COX7B1","OCLN","CTNNAL1","RNA5SP301","C4BPA","CD274","LINC013561","RNU6-522P","HMGB3P241","BBOF1","RPL36AP26","SLPI","RNU6-943P1","SLC3A1","RPS71","RNU6-853P1"
"pre_GSM1923017","pre-treatment",6.49291,2.842638,2.826351,3.562766,2.966132,6.521366,6.800087,2.642785,3.393748,4.242674,5.273703,3.083964,2.448912,3.144909,2.685626,3.464369,2.665626,4.795249,3.179041,3.065146,3.570185,3.321366,1.933477,2.973124,3.464369,2.668152,2.023087,2.952661,3.012961,3.491284,2.805852,2.273714,3.172199,4.168336,5.620139,1.882113,4.718851,2.183602,2.842638,7.9289,8.115437,8.352043,7.416633,10.11232,7.9289,8.454391,8.922358,7.720346,8.923471,7.722299,6.829654,7.296613,9.09301,8.734781,8.139548,7.683429,9.217394,6.853621,9.079515,8.937953,6.49291,3.184595,3.287252,6.780286,6.11639,8.620446,6.521366,6.784663,9.910405,7.366439,7.007805,7.918583,4.499736,3.942171,7.730081,6.800087,9.476265,7.603351,7.883636,5.531567,6.521366,6.49291,6.800087,2.842638,8.212902,3.562766,9.875731,5.273703,5.898042,3.393748,8.620446,8.357267,9.589586,5.764567,2.826351,8.889296,5.216572,4.795249,6.8645325,8.609476,3.570185,7.9289,3.321366,3.464369,2.668152,6.235959,5.531182,3.491284,5.423641,7.239742,5.620139,7.381887,4.168336,7.765718,6.607109,8.096432,3.012961,4.687454,4.718851,2.952661
"post_EG_GSM1923001","EGCG treatment",5.949213,3.573943,3.748873,3.742654,3.081719,8.261001,7.40834,3.321838,5.331326,4.83402,5.919379,3.089412,3.004035,3.796416,2.866827,4.080317,2.507442,5.471056,4.187703,2.971382,2.031657,3.490727,2.047374,2.714277,4.080317,3.087768,2.357377,2.771961,2.940627,4.359956,2.956923,2.259405,3.581139,3.892712,4.852013,1.573209,3.9319885,2.212602,3.573943,8.730453,6.25269,4.848335,6.388772,9.546643,8.730453,6.477332,5.718733,5.307739,8.289977,7.070602,6.127592,4.454395,8.079201,8.406297,7.77905,5.990546,7.449615,6.861242,8.293604,8.246765,5.949213,3.829879,4.587255,7.74379,6.645617,8.089737,8.261001,6.016811,10.35717,7.413693,6.771927,8.3527985,4.353493,3.035174,7.44491,7.40834,7.508742,5.402288,7.191074,4.430312,8.261001,5.949213,7.40834,3.573943,7.903615,3.742654,9.922967,5.919379,7.623088,5.331326,8.089737,8.869393,10.07821,5.177411,3.748873,8.949943,5.291029,5.471056,8.244645,8.606488,2.031657,8.730453,3.490727,4.080317,3.087768,3.658009,4.823223,4.359956,4.984426,7.565337,4.852013,7.1548,3.892712,7.287389,6.46934,7.222888,2.940627,4.934957,3.9319885,2.771961
"post_EG_GSM1923005","EGCG treatment",5.355846,3.869781,3.630504,5.294493,2.65705,10.30215,8.71894,3.656686,5.425857,4.940313,5.900205,3.074352,2.474798,4.063281,2.693574,5.535697,2.718858,5.277777,3.44787,3.026773,5.331456,4.232907,2.85743,2.485653,5.535697,3.723906,1.932529,2.907065,2.343109,3.772393,2.826232,2.589482,3.480985,4.307755,4.89097,1.899811,4.731526,2.084784,3.869781,5.601388,7.938001,6.759398,6.694151,10.28014,5.601388,8.065611,9.667198,5.376432,9.000059,7.635836,6.082124,4.531877,7.932209,8.640158,7.806866,6.847225,9.74501,7.526591,8.890228,9.041632,5.355846,4.693993,3.971565,7.145695,5.246081,8.071516,10.30215,6.262485,9.295792,7.487288,7.147807,8.260955,4.341793,4.031562,7.570262,8.71894,9.863466,6.946068,8.785271,4.632414,10.30215,5.355846,8.71894,3.869781,7.468671,5.294493,9.761224,5.900205,5.723022,5.425857,8.071516,9.163091,9.590371,4.87443,3.630504,9.064756,5.799579,5.277777,7.725516,8.163542,5.331456,5.601388,4.232907,5.535697,3.723906,7.07148,7.414082,3.772393,5.064595,7.51557,4.89097,6.252564,4.307755,7.992859,7.332107,7.471013,2.343109,5.232114,4.731526,2.907065
"post_EG_GSM1923011","EGCG treatment",4.110092,3.168412,3.06006,3.64987,3.278426,9.6131,8.723102,3.610793,5.051238,4.780491,6.717534,3.670423,2.229012,3.433363,2.698809,5.322618,3.251645,5.909765,3.710559,2.529118,3.150599,3.456671,2.134356,2.646993,5.322618,3.207069,2.3634,2.681999,3.162296,3.980061,3.090506,2.092072,3.083178,4.618551,4.491223,1.665071,4.443668,2.203373,3.168412,6.366739,7.687862,5.230656,6.506222,8.955799,6.366739,7.276847,5.317696,5.277018,7.453115,6.184412,5.52437,5.392102,8.670917,8.335856,7.203592,7.667832,7.443933,6.911733,7.848507,7.199751,4.110092,4.822496,5.555689,7.368058,5.991428,9.167692,9.6131,6.044048,10.67136,7.456971,7.86698,8.240053,4.754691,3.350624,7.77809,8.723102,8.21111,5.09063,5.976563,4.029508,9.6131,4.110092,8.723102,3.168412,7.495716,3.64987,11.4189,6.717534,5.734277,5.051238,9.167692,9.989081,11.36097,5.830243,3.06006,10.21784,7.845604,5.909765,8.453935,10.36343,3.150599,6.366739,3.456671,5.322618,3.207069,7.197221,5.062014,3.980061,4.897905,7.06132,4.491223,7.450614,4.618551,6.373542,6.578686,6.830313,3.162296,4.897149,4.443668,2.681999
"post_EG_GSM1923013","EGCG treatment",6.065581,3.493053,3.161716,4.996494,2.435193,9.378744,8.87225,3.054667,5.652168,4.714173,5.701843,2.846602,2.405735,3.769459,2.718318,5.330664,2.920867,4.657054,4.349553,2.497802,3.002369,3.761265,1.809812,3.654999,5.330664,3.900589,2.330837,2.759539,3.336897,3.733911,2.68898,2.698951,3.003349,3.515645,4.175975,1.786048,4.6141645,2.221457,3.493053,6.313624,7.062013,7.895698,7.099987,9.743366,6.313624,7.592211,7.193083,6.187052,8.468859,6.464887,6.79482,5.990294,7.730622,8.353057,7.756974,6.305082,8.362711,6.065194,8.119076,8.535689,6.065581,4.014038,4.250207,7.609488,6.292499,8.230452,9.378744,6.230087,8.524614,6.836432,7.883873,8.6195505,4.087748,3.096735,7.281763,8.87225,7.876519,5.800428,8.227284,4.571495,9.378744,6.065581,8.87225,3.493053,7.672227,4.996494,9.796797,5.701843,7.726081,5.652168,8.230452,8.992926,9.624558,6.329623,3.161716,9.421828,5.598543,4.657054,7.7787545,8.462289,3.002369,6.313624,3.761265,5.330664,3.900589,6.480009,5.641806,3.733911,4.763914,7.666081,4.175975,5.886648,3.515645,6.998306,6.898235,9.317122,3.336897,4.587667,4.6141645,2.759539
"post_EG_GSM1923021","EGCG treatment",7.461491,4.284653,3.210827,3.874503,2.80391,9.459219,8.598404,3.4991,5.159725,4.572099,6.141848,3.392733,3.389984,3.532828,3.235313,3.434441,2.845185,4.805988,3.62088,4.186963,4.226489,3.326652,2.291333,2.149714,3.434441,4.582647,2.340211,2.832179,2.891805,3.339392,2.7931,2.677737,2.787638,4.392764,4.914523,1.933759,4.3633705,1.978951,4.284653,5.863973,7.569274,4.955577,7.298946,10.16968,5.863973,8.669718,5.763507,5.000858,8.646244,6.705126,6.990051,7.2191,7.846555,8.802331,6.975428,6.824337,9.410426,7.551071,8.617882,8.643761,7.461491,2.583134,4.386709,6.258324,5.849399,8.388445,9.459219,5.955448,10.40935,6.642108,8.934456,7.814332,4.297094,3.158351,7.275712,8.598404,9.019022,7.147628,9.460279,4.487793,9.459219,7.461491,8.598404,4.284653,9.016326,3.874503,9.124174,6.141848,8.65979,5.159725,8.388445,7.879318,9.070177,6.359288,3.210827,8.136599,5.16765,4.805988,7.2794735,7.680103,4.226489,5.863973,3.326652,3.434441,4.582647,3.183043,6.914743,3.339392,5.049961,7.482051,4.914523,6.808507,4.392764,8.48,8.468581,9.406696,2.891805,4.662432,4.3633705,2.832179
"post_EG_GSM1923006","EGCG treatment",5.072135,3.411751,3.008668,3.88742,2.982139,9.584011,8.934507,3.062416,5.153096,5.11038,6.13834,3.277361,2.226802,3.408808,2.90009,3.164427,3.083762,4.927002,3.268698,2.638914,2.477271,3.155035,2.447795,2.577765,3.164427,3.60677,2.102863,3.365447,2.896197,3.929165,2.909598,2.437222,3.281048,4.088903,4.462373,1.613892,4.2734725,2.318737,3.411751,5.765924,6.700064,6.872093,6.467964,9.766462,5.765924,7.621096,7.250315,6.953821,8.333897,7.184817,6.450964,5.943068,8.071026,8.306144,7.601022,6.636683,8.611727,6.864363,8.452837,8.307762,5.072135,3.494383,4.632421,6.988001,6.511136,8.202385,9.584011,6.145019,9.734085,6.983094,6.894226,7.918884,3.696733,3.127791,7.68045,8.934507,7.407968,5.383152,8.771425,4.239394,9.584011,5.072135,8.934507,3.411751,7.24407,3.88742,9.622095,6.13834,7.033669,5.153096,8.202385,8.646835,9.552368,5.707431,3.008668,9.116012,5.312009,4.927002,7.319313,7.994862,2.477271,5.765924,3.155035,3.164427,3.60677,6.561533,5.560568,3.929165,4.984906,7.797422,4.462373,6.371397,4.088903,7.754502,8.082952,7.87098,2.896197,4.969165,4.2734725,3.365447
"post_EG_GSM1923014","EGCG treatment",6.761656,2.693678,2.609507,4.16093,2.989105,9.079417,7.890539,3.032138,5.656002,3.628884,5.947184,3.372441,2.584344,3.635039,2.920035,4.840649,3.730932,5.742089,4.176943,2.716264,5.547932,4.01592,2.12252,2.739764,4.840649,3.300058,2.199121,2.823623,3.604516,4.148819,3.131953,2.27784,3.241025,4.49801,4.237446,1.615791,4.4190315,2.119062,2.693678,6.322592,6.540018,5.145044,6.565404,9.627275,6.322592,6.173173,5.620043,5.746621,8.148478,7.001552,6.486619,4.24226,8.183543,7.48279,7.31191,5.734556,8.408518,6.702696,8.648643,8.438776,6.761656,3.597673,3.921858,6.609367,6.547845,8.669074,9.079417,5.670566,10.25483,6.915244,6.803237,8.0280915,3.910842,2.72842,7.237241,7.890539,7.121668,5.892553,7.105385,4.862161,9.079417,6.761656,7.890539,2.693678,8.388748,4.16093,9.797035,5.947184,7.871494,5.656002,8.669074,8.383125,9.264434,5.938795,2.609507,9.241373,5.282434,5.742089,7.5697675,7.969224,5.547932,6.322592,4.01592,4.840649,3.300058,6.66202,5.672833,4.148819,5.06897,6.806666,4.237446,6.305537,4.49801,7.300568,6.614895,7.330129,3.604516,4.597248,4.4190315,2.823623
"post_EQ_GSM192996","EGCG and Quercentin treatment",2.427704,3.052848,2.743898,4.893936,2.563539,7.697928,6.96056,3.118946,5.387603,4.435178,5.305202,2.733057,2.44098,4.33767,3.050078,5.054548,2.700581,4.772978,3.119737,2.892438,4.68255,4.310873,3.424337,3.53744,5.054548,5.635063,2.794842,3.375301,3.744242,3.633708,2.828575,2.404082,3.967495,4.677317,4.216005,1.762162,5.036717,2.620892,3.052848,5.903659,7.039741,7.740302,7.026289,9.5999,5.903659,7.659682,6.947811,7.025535,9.035988,6.820817,7.000079,5.829978,8.270761,7.796389,8.092734,6.5424,8.397844,6.495778,8.807296,8.839487,2.427704,4.110287,3.075671,7.447532,5.911707,8.119132,7.697928,5.530193,9.953789,6.976113,7.520467,8.2165545,4.130211,2.886344,6.989304,6.96056,7.589917,5.383403,7.709848,4.2078,7.697928,2.427704,6.96056,3.052848,6.003469,4.893936,9.119679,5.305202,4.885742,5.387603,8.119132,8.697583,9.241217,5.131209,2.743898,9.082642,5.207904,4.772978,7.5639645,7.928662,4.68255,5.903659,4.310873,5.054548,5.635063,3.671858,5.782651,3.633708,4.713947,7.012457,4.216005,7.431625,4.677317,7.482733,7.724177,8.929095,3.744242,4.666132,5.036717,3.375301
"post_EQ_GSM1923003","EGCG and Quercentin treatment",3.137046,3.10222,3.226776,2.541502,3.233945,6.728965,6.832266,3.584498,3.99558,3.894447,6.328917,3.214177,2.177983,3.548043,2.764291,4.743489,2.408612,5.860793,3.662511,2.682071,5.161864,3.580882,2.190556,3.255172,4.743489,3.31929,2.358409,2.878293,3.645178,4.7944,3.574881,2.78279,3.190274,5.087781,4.677374,2.031818,4.1641185,2.459692,3.10222,7.950787,7.803569,7.091697,8.537401,11.58985,7.950787,7.964205,10.1962,5.896317,10.08507,8.551716,8.651437,6.181441,7.786587,8.789339,8.634794,7.332567,10.5939,8.027521,10.13814,9.66853,3.137046,2.660346,4.015993,5.993151,5.307204,7.503975,6.728965,5.510973,10.58238,6.222389,6.719985,7.369837,3.808141,3.10409,6.667692,6.832266,8.051022,6.272635,6.142346,4.545978,6.728965,3.137046,6.832266,3.10222,7.091983,2.541502,9.38456,6.328917,5.507178,3.99558,7.503975,7.939892,8.854331,4.946217,3.226776,8.493857,5.642959,5.860793,7.1673705,7.323971,5.161864,7.950787,3.580882,4.743489,3.31929,7.525222,7.221272,4.7944,5.138184,7.918637,4.677374,6.892733,5.087781,9.435266,7.809474,9.050573,3.645178,6.578716,4.1641185,2.878293
"post_EQ_GSM1923009","EGCG and Quercentin treatment",5.007051,3.584512,2.87134,3.360436,2.357943,7.830197,7.267973,3.755263,5.659101,4.438204,5.241449,3.107518,2.344524,3.625212,2.660055,4.165302,3.238852,4.943952,3.279507,2.882871,4.150652,4.449759,2.047845,3.680403,4.165302,4.905072,2.095552,3.218552,3.295518,3.950391,2.797498,2.141819,3.573056,4.975688,4.357222,2.088993,5.200315,2.122816,3.584512,8.581388,7.717729,6.878068,7.245165,10.29944,8.581388,7.85086,6.014792,7.352423,8.992656,10.44944,6.36728,6.517202,8.202093,8.77482,7.955797,7.57986,8.497488,7.017735,9.07758,9.290818,5.007051,3.311558,3.245117,7.120434,5.756958,7.563985,7.830197,5.458944,9.732656,5.816708,6.799205,7.8862085,3.612584,3.146844,7.038128,7.267973,7.842779,5.710556,7.587909,4.567094,7.830197,5.007051,7.267973,3.584512,7.017175,3.360436,9.538849,5.241449,8.290995,5.659101,7.563985,8.411731,9.502459,4.809376,2.87134,8.790973,5.218734,4.943952,7.457869,8.217247,4.150652,8.581388,4.449759,4.165302,4.905072,6.609111,5.87324,3.950391,5.120459,7.185274,4.357222,6.78672,4.975688,8.050997,7.409118,8.283017,3.295518,4.784383,5.200315,3.218552
"post_EQ_GSM1923016","EGCG and Quercentin treatment",2.960443,3.112173,3.928728,4.825012,2.578497,9.018084,8.186852,3.227024,5.648862,3.693426,5.406178,2.841691,2.399625,3.647851,2.932639,5.324278,2.548895,5.343125,4.092943,2.655846,6.283531,4.476717,2.470551,3.693751,5.324278,5.447308,2.794276,3.934861,4.178654,5.168087,2.797202,2.147881,3.898541,3.172379,6.072282,2.236031,4.620352,2.37493,3.112173,5.350835,8.222206,6.861707,6.963031,10.34225,5.350835,8.621956,5.199347,6.712823,8.444243,6.446705,6.683014,5.489808,8.472079,9.090113,7.553405,7.370322,8.607826,7.80757,8.197358,7.957779,2.960443,2.296012,4.252715,6.058447,4.534206,7.484712,9.018084,5.540454,9.544022,5.982982,6.879534,7.430038,3.691813,3.300801,6.788158,8.186852,8.911701,5.783059,7.131244,4.354688,9.018084,2.960443,8.186852,3.112173,6.402933,4.825012,9.144921,5.406178,5.664503,5.648862,7.484712,7.733289,8.931672,5.037626,3.928728,8.114603,5.091768,5.343125,7.3447925,7.725022,6.283531,5.350835,4.476717,5.324278,5.447308,6.644725,5.273255,5.168087,5.288314,7.223956,6.072282,7.654583,3.172379,7.566235,8.29199,7.703988,4.178654,4.996114,4.620352,3.934861
"post_EQ_GSM1923019","EGCG and Quercentin treatment",3.446559,3.244807,2.814982,2.946133,2.31012,8.074804,6.966214,2.983323,5.342055,4.386437,5.320288,3.21419,2.292995,3.087612,3.072193,4.082217,2.664578,5.290121,3.822774,3.048157,5.505964,3.845018,2.651674,2.488126,4.082217,3.184214,2.394529,4.089132,3.682128,4.703807,4.040437,2.707348,3.514594,5.283709,5.38552,1.735773,3.940056,2.146768,3.244807,8.706761,8.856528,7.790562,7.303243,10.35155,8.706761,8.938608,5.013575,8.414383,8.63734,7.120396,6.921742,5.25426,9.008548,9.187703,7.552294,7.809787,8.450035,7.627996,8.514254,8.562681,3.446559,2.763831,3.317393,5.590872,5.04793,9.382847,8.074804,5.505969,7.535823,7.028103,7.356482,8.0163355,3.776187,3.874656,7.605242,6.966214,8.910152,6.871516,6.830412,4.781677,8.074804,3.446559,6.966214,3.244807,6.419608,2.946133,9.157377,5.320288,8.136298,5.342055,9.382847,8.013553,8.889157,4.907098,2.814982,8.455405,5.066716,5.290121,7.329351,7.727964,5.505964,8.706761,3.845018,4.082217,3.184214,4.167722,5.630321,4.703807,9.747406,8.434786,5.38552,7.307591,5.283709,7.722712,7.659492,8.608315,3.682128,5.348597,3.940056,4.089132
"post_EQ_GSM1923023","EGCG and Quercentin treatment",3.151683,2.657585,2.051197,2.932543,2.383018,7.873861,7.202069,2.988232,5.249089,4.480537,5.614786,2.993068,2.802598,3.169832,2.743607,4.078527,2.772277,4.226533,3.01604,2.660297,4.479595,3.565732,2.158573,2.333937,4.078527,3.844402,2.488586,2.922616,3.679098,3.859278,3.343607,3.004642,3.236636,5.249603,4.622921,2.260481,5.194638,2.425967,2.657585,8.425818,6.542171,5.077416,9.144846,12.42471,8.425818,7.596479,10.32815,4.968812,10.45839,7.580519,6.849542,5.198147,8.356019,8.423525,9.218049,7.31393,10.85882,6.379083,10.06867,9.900647,3.151683,3.241366,3.819692,6.074282,4.93323,5.260391,7.873861,4.929681,9.47855,5.874768,7.015967,7.361815,3.711281,3.242997,6.527917,7.202069,7.877195,5.30081,8.918526,4.211994,7.873861,3.151683,7.202069,2.657585,6.658344,2.932543,9.293158,5.614786,8.303211,5.249089,5.260391,7.634162,8.462263,4.71757,2.051197,8.037745,5.201594,4.226533,6.6125285,7.252233,4.479595,8.425818,3.565732,4.078527,3.844402,6.990861,8.466906,3.859278,5.625638,8.068832,4.622921,7.269157,5.249603,9.591305,7.075865,8.044639,3.679098,5.03436,5.194638,2.922616
"post_EQ_GSM192997","EGCG and Quercentin treatment",7.39416,3.565466,2.159757,3.230829,2.652509,7.716066,7.137103,2.655874,5.523956,4.215346,5.416752,2.908655,3.399171,3.257447,2.698809,5.707513,2.369415,4.688094,3.377038,3.047584,4.413396,4.561479,3.112631,2.714277,5.707513,5.294223,3.151293,4.018044,2.83766,4.757572,2.982416,3.551652,3.136315,4.448357,4.826534,1.951763,4.6262245,2.22587,3.565466,8.528305,7.575119,6.437828,7.201931,10.33777,8.528305,7.809654,7.956069,5.062799,8.400677,6.911358,6.406588,7.155084,8.565988,8.510585,7.572071,7.411037,8.873499,6.966662,8.679586,8.037309,7.39416,2.863248,3.670649,6.698794,5.101391,6.336634,7.716066,6.521782,8.115911,6.948423,7.470087,7.375707,3.308388,3.3553,7.079801,7.137103,7.743999,5.709005,7.608439,4.297514,7.716066,7.39416,7.137103,3.565466,8.965363,3.230829,8.659708,5.416752,7.98936,5.523956,6.336634,8.145864,9.266195,6.561772,2.159757,8.581922,5.707659,4.688094,6.6935255,8.085601,4.413396,8.528305,4.561479,5.707513,5.294223,7.744453,6.280276,4.757572,5.131331,8.176865,4.826534,7.708737,4.448357,7.654172,7.981943,8.517046,2.83766,4.848216,4.6262245,4.018044
